regiao,concelho_id,concelho,freguesia_id,freguesia,tipologia,estado,agregacao,janela_temporal,periodo_referencia,n,p5,p25,media,p75,p95,fonte_ficheiro
AM Lisboa,111500,Amadora,111514,Encosta do Sol,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1757.0,3207.0,3618.0,4224.0,4988.0,AML.xlsx
AM Lisboa,111500,Amadora,111515,Falagueira-Venda Nova,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2102.0,3296.0,3673.0,4025.0,5424.0,AML.xlsx
AM Lisboa,111500,Amadora,111515,Falagueira-Venda Nova,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2102.0,3296.0,3673.0,4025.0,5424.0,AML.xlsx
AM Lisboa,111500,Amadora,111515,Falagueira-Venda Nova,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2128.0,3308.0,3717.0,4055.0,5682.0,AML.xlsx
AM Lisboa,111500,Amadora,111515,Falagueira-Venda Nova,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2102.0,3296.0,3673.0,4025.0,5424.0,AML.xlsx
AM Lisboa,111500,Amadora,111516,Mina de Água,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2121.0,3084.0,3481.0,3926.0,4712.0,AML.xlsx
AM Lisboa,111500,Amadora,111516,Mina de Água,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2121.0,3084.0,3481.0,3926.0,4712.0,AML.xlsx
AM Lisboa,111500,Amadora,111516,Mina de Água,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,,2295.0,,,AML.xlsx
AM Lisboa,111500,Amadora,111516,Mina de Água,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,,2295.0,,,AML.xlsx
AM Lisboa,111500,Amadora,111516,Mina de Água,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1661.0,2966.0,3415.0,3922.0,4697.0,AML.xlsx
AM Lisboa,111500,Amadora,111516,Mina de Água,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,1661.0,2966.0,3415.0,3922.0,4697.0,AML.xlsx
AM Lisboa,111500,Amadora,0,Total,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,3645.0,4076.0,4513.0,,AML.xlsx
AM Lisboa,111500,Amadora,0,Total,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2263.0,3139.0,3649.0,4159.0,5104.0,AML.xlsx
AM Lisboa,111500,Amadora,0,Total,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2251.0,3125.0,3636.0,4134.0,5102.0,AML.xlsx
AM Lisboa,111500,Amadora,0,Total,Moradia,Total,Semestral,Acumulado de 6 meses,2026-05-31,,,1455.0,3164.0,4819.0,,AML.xlsx
AM Lisboa,111500,Amadora,0,Total,Moradia,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,,1441.0,2637.0,3799.0,,AML.xlsx
AM Lisboa,111500,Amadora,0,Total,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,2378.0,3706.0,4376.0,4556.0,6591.0,AML.xlsx
AM Lisboa,111500,Amadora,0,Total,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2128.0,3116.0,3635.0,4165.0,5157.0,AML.xlsx
AM Lisboa,111500,Amadora,0,Total,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2104.0,3103.0,3610.0,4129.0,5104.0,AML.xlsx
AM Lisboa,111500,Amadora,111517,Venteira,Apartamento,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,4139.0,,,AML.xlsx
AM Lisboa,111500,Amadora,111517,Venteira,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2250.0,3213.0,3653.0,4175.0,4882.0,AML.xlsx
AM Lisboa,111500,Amadora,111517,Venteira,Apartamento,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2233.0,3205.0,3612.0,4094.0,4808.0,AML.xlsx
AM Lisboa,111500,Amadora,111517,Venteira,Total,Novo,Semestral,Acumulado de 6 meses,2026-05-31,,,,4411.0,,,AML.xlsx
AM Lisboa,111500,Amadora,111517,Venteira,Total,Total,Semestral,Acumulado de 6 meses,2026-05-31,,2200.0,3210.0,3660.0,4179.0,4932.0,AML.xlsx
AM Lisboa,111500,Amadora,111517,Venteira,Total,Usado,Semestral,Acumulado de 6 meses,2026-05-31,,2125.0,3193.0,3589.0,4091.0,4802.0,AML.xlsx
AM Lisboa,150400,Barreiro,150407,Sto António da Charneca,Apartamento,Total,Semestral,Acumulado de 6 meses,2026-05-31,,1876.0,2543.0,2808.0,3208.0,3598.0,AML.xlsx
